title		rating	imdb_rating	metacritic		production		imdb_votes			release_date	runtime	genre			Budget	Box Office Gross
The Cabinet of Dr. Caligari		UNRATED	8.1	N/A		Rialto Pictures		"42,583"			19-Mar-21	67 min	"Fantasy, Horror, Mystery"			18000	0
Hiroshima Mon Amour		NOT RATED	8	N/A		Rialto Pictures		"21,154"			16-May-60	90 min	"Drama, Romance"			88300	0
Alphaville		NOT RATED	7.2	N/A		Rialto Pictures		"17,801"			5-May-65	99 min	"Drama, Mystery, Sci-Fi"			220000	46585
"Ugly, Dirty and Bad"		N/A	7.9	N/A		Compagnia Cinematografica Champion		"5,705"			23-Sep-76	115 min	"Comedy, Drama"			6590	0
Losing Ground		N/A	6.3	N/A		Milestone Film & Video		132			1-Jun-82	86 min	"Comedy, Drama"			0	0
L'argent		N/A	7.5	95		Criterion Collection		"5,607"			18-May-83	85 min	"Crime, Drama"			0	0
Ghostbusters		PG	7.8	67		Columbia Pictures		"289,586"			8-Jun-84	105 min	"Action, Adventure, Comedy"			30000000	238632124
On the Silver Globe		UNRATED	7.3	72		Kadr Film Unit		"1,197"			10-Feb-89	166 min	"Adventure, Fantasy, Sci-Fi"			0	0
Beauty and the Beast		G	8	95		Buena Vista		"332,843"			22-Nov-91	84 min	"Animation, Family, Fantasy"			25000000	218967620
Rebels of the Neon God		N/A	7.6	82		Big World Pictures		"2,155"			4-Aug-94	106 min	"Crime, Drama"			28422	0
Daughters of the Dust		TV-PG	6.5	81		Kino International		986			27-Dec-91	112 min	"Drama, History, Romance"			1642436	0
Jurassic Park		PG-13	8.1	68		Universal City Studios		"665,919"			11-Jun-93	127 min	"Adventure, Sci-Fi, Thriller"			63000000	402453882
Forrest Gump		PG-13	8.8	82		Paramount Pictures		"1,365,937"			6-Jul-94	142 min	"Comedy, Drama, Romance"			55000000	330252182
River of Grass		N/A	6.5	69		Oscilloscope Laboratories		582			13-Oct-95	76 min	Drama			8534	0
Titanic		PG-13	7.7	74		Paramount Pictures		"847,267"			19-Dec-97	194 min	"Drama, Romance"			200000000	658672302
Star Wars: Episode I - The Phantom Menace		PG	6.5	51		20th Century Fox		"573,249"			19-May-99	136 min	"Action, Adventure, Fantasy"			115000000	474544677
The Fast and the Furious		PG-13	6.7	58		Universal Pictures		"290,520"			22-Jun-01	106 min	"Action, Crime, Thriller"			38000000	144533925
Wazir		N/A	7.2	N/A		Rajkumar Hirani Films		"12,764"			8-Jan-16	103 min	"Action, Crime, Drama"			586028	0
Bunyan and Babe		PG	5.2	N/A		Exodus Film Group		143			12-Jan-17	84 min	"Animation, Adventure, Comedy"			0	0
The Secret Life of Walter Mitty		PG	7.3	54		20th Century Fox		"250,549"			25-Dec-13	114 min	"Adventure, Comedy, Drama"			90000000	58236838
A Walk Among the Tombstones		R	6.5	57		Universal Studios		"94,235"			19-Sep-14	114 min	"Crime, Drama, Mystery"			28000000	26307600
Jurassic World		PG-13	7	59		Universal Pictures		"458,076"			12-Jun-15	124 min	"Action, Adventure, Sci-Fi"			150000000	652270625
The Rum Diary		R	6.2	56		The Film District		"89,627"			28-Oct-11	120 min	"Comedy, Drama"			45000000	13100042
American Pastoral		R	6.1	43		Lakeshore Entertainment		"7,461"			21-Oct-16	108 min	"Crime, Drama"			541457	0
Gnomeo & Juliet		G	6	53		Touchstone Pictures		"44,680"			11-Feb-11	84 min	"Animation, Comedy, Family"			36000000	99967670
The Lovely Bones		PG-13	6.7	42		Paramount Pictures		"130,873"			15-Jan-10	135 min	"Drama, Fantasy, Thriller"			65000000	43818839
The Three Stooges		PG	5.1	56		20th Century Fox		"26,474"			13-Apr-12	92 min	"Comedy, Family"			44338224	0
Tangled		PG	7.8	71		Walt Disney Pictures		"317,227"			24-Nov-10	100 min	"Animation, Adventure, Comedy"			260000000	200821936
John Carter		PG-13	6.6	51		Walt Disney Pictures		"220,905"			9-Mar-12	132 min	"Action, Adventure, Sci-Fi"			250000000	73078100
Youth in Revolt		R	6.5	63		The Weinstein Company		"66,783"			8-Jan-10	90 min	"Comedy, Drama, Romance"			18000000	15281286
Action Jackson		N/A	3.3	N/A		Baba Films		"2,302"			5-Dec-14	144 min	"Action, Comedy, Drama"			171795	0
In Secret		R	6.1	47		Roadside Attractions		"5,915"			3-Apr-14	107 min	"Crime, Drama, Thriller"			420266	0
Cowboys & Aliens		PG-13	6	50		Universal Pictures		"179,612"			29-Jul-11	119 min	"Action, Sci-Fi, Thriller"			163000000	100240551
The Stanford Prison Experiment		R	6.9	67		IFC Films		"20,946"			17-Jul-15	122 min	"Biography, Drama, History"			643557	0
A Poem Is a Naked Person		NOT RATED	7.2	76		Janus Films		178			8-Jul-16	90 min	"Documentary, Music"			87185	0
Dinner for Schmucks		PG-13	5.9	56		Paramount Studios		"83,575"			30-Jul-10	114 min	Comedy			73026337	0
Masters of the Universe		N/A	N/A	N/A		Sony Pictures Entertainment		N/A			18-Dec-19	N/A	"Action, Adventure, Drama"			0	0
The A-Team		PG-13	6.8	47		20th Century Fox		"219,064"			11-Jun-10	117 min	"Action, Adventure, Comedy"			110000000	77222099
The Possession		PG-13	5.9	45		Lionsgate Films		"49,362"			31-Aug-12	92 min	"Horror, Thriller"			14000000	49130154
Real Steel		PG-13	7.1	56		Walt Disney Pictures		"264,955"			7-Oct-11	127 min	"Action, Drama, Family"			110000000	85468508
Daybreakers		R	6.5	57		Lionsgate		"109,107"			8-Jan-10	98 min	"Action, Horror, Sci-Fi"			20000000	30101577
Toy Story 3		G	8.3	92		Walt Disney Pictures		"589,975"			18-Jun-10	103 min	"Animation, Adventure, Comedy"			200000000	415004880
Alita: Battle Angel		N/A	N/A	N/A		ADV Films		N/A			20-Jul-18	N/A	"Action, Adventure, Romance"			200000000	0
Lincoln		PG-13	7.4	86		Dreamworks Pictures		"207,962"			16-Nov-12	150 min	"Biography, Drama, History"			65000000	182207973
Before We Go		PG-13	6.9	31		Radius		"31,605"			21-Jul-15	95 min	"Comedy, Drama, Romance"			37047	0
Scott Pilgrim vs. the World		PG-13	7.5	69		Universal Pictures		"292,871"			13-Aug-10	112 min	"Action, Comedy, Fantasy"			60000000	31494270
Shazam!		N/A	N/A	N/A		Warner Bros.		N/A			5-Apr-19	N/A	"Action, Fantasy, Sci-Fi"			0	0
Puss in Boots		PG	6.7	65		Paramount/Dreamworks		"120,366"			28-Oct-11	90 min	"Animation, Action, Adventure"			130000000	149260504
Wonder Woman		PG-13	8.3	76		Warner Bros. Pictures		"61,125"			2-Jun-17	141 min	"Action, Adventure, Fantasy"			149000000	404000714
42		PG-13	7.5	62		Warner Bros. Pictures		"69,898"			12-Apr-13	128 min	"Biography, Drama, Sport"			40000000	95001343
Life of Pi		PG	7.9	79		20th Century Fox		"472,562"			21-Nov-12	127 min	"Adventure, Drama, Fantasy"			120000000	124987023
The Crazies		R	6.5	55		Overture Films		"96,918"			26-Feb-10	101 min	"Horror, Thriller"			20000000	39123589
Captain America: The First Avenger		PG-13	6.9	66		Paramount Pictures		"548,073"			22-Jul-11	124 min	"Action, Adventure, Sci-Fi"			140000000	176654505
A Long Way Down		R	6.4	34		Magnolia Pictures		"26,445"			5-Jun-14	96 min	"Comedy, Drama"			13093	0
Sin City: A Dame to Kill For		R	6.5	46		Dimension Films		"122,955"			22-Aug-14	102 min	"Action, Crime, Thriller"			65000000	13757804
The Only Living Boy in New York		N/A	N/A	N/A		Amazon Studios & Roadside Attractions		N/A			11-Aug-17	N/A	Drama			163145	0
High-Rise		R	5.7	65		N/A		"26,277"			28-Apr-16	119 min	Drama			343139	0
Piranha 3D		R	5.5	53		The Weinstein Company/Dimension Films		"75,272"			20-Aug-10	88 min	"Comedy, Horror, Thriller"			24000000	25003155
Alan Partridge		R	7	66		Magnolia Pictures		"25,651"			27-Feb-14	90 min	"Comedy, Crime"			152211	0
Ex Machina		R	7.7	78		A24 Films		"340,875"			24-Apr-15	108 min	"Drama, Mystery, Sci-Fi"			15000000	25442958
Tower Heist		PG-13	6.2	59		Universal Pictures		"114,601"			4-Nov-11	104 min	"Action, Comedy, Crime"			75000000	78046570
The Mechanic		R	6.6	49		CBS Films		"128,777"			28-Jan-11	93 min	"Action, Crime, Thriller"			40000000	29121498
Prince of Persia: The Sands of Time		PG-13	6.6	50		Walt Disney Pictures		"233,701"			28-May-10	116 min	"Action, Adventure, Fantasy"			200000000	90759676
"Hail, Caesar!"		PG-13	6.3	72		Universal Pictures		"89,643"			5-Feb-16	106 min	"Comedy, Mystery"			22000000	30080225
Unstoppable		PG-13	6.8	69		20th Century Fox		"157,677"			12-Nov-10	98 min	"Action, Thriller"			100000000	81562942
Extremely Loud & Incredibly Close		PG-13	6.9	46		Warner Bros. Pictures		"85,990"			20-Jan-12	129 min	"Adventure, Drama, Mystery"			40000000	31847881
Ant-Man		PG-13	7.3	64		Disney/Marvel		"373,236"			17-Jul-15	117 min	"Action, Adventure, Comedy"			130000000	180202163
Season of the Witch		PG-13	5.4	28		Relativity Media		"79,179"			7-Jan-11	95 min	"Action, Adventure, Fantasy"			40000000	24827228
The Losers		PG-13	6.4	44		Warner Bros. Pictures		"77,626"			23-Apr-10	97 min	"Action, Adventure, Crime"			25000000	23580735
Hall Pass		R	5.9	45		Warner Bros. Pictures		"106,811"			25-Feb-11	105 min	"Comedy, Romance"			36000000	45060734
The Croods		PG	7.2	55		20th Century Fox		"160,543"			22-Mar-13	98 min	"Animation, Adventure, Comedy"			135000000	187168425
U Want Me 2 Kill Him?		NOT RATED	6.3	42		Tribeca Film		"2,113"			23-Apr-15	92 min	"Drama, Thriller"			0	0
Red Tails		PG-13	5.9	46		20th Century Fox		"29,768"			20-Jan-12	125 min	"Action, Adventure, Drama"			58000000	49876377
Aftermath		R	5.2	N/A		Freestyle Releasing		234			1-Mar-13	84 min	"Crime, Thriller"			0	0
Silence		R	7.3	79		Paramount Pictures		"49,472"			13-Jan-17	161 min	"Adventure, Drama, History"			46000000	7079191
Suburbicon		R	N/A	N/A		N/A		N/A			3-Nov-17	N/A	"Comedy, Crime, Mystery"			0	0
Tulip Fever		R	N/A	N/A		The Weinstein Company		N/A			25-Aug-17	107 min	"Drama, Romance"			25000000	0
Furry Vengeance		PG	3.8	23		Artist View Entertainment		"13,054"			30-Apr-10	92 min	"Comedy, Family"			35000000	17596256
Nina		N/A	5.2	27		Ealing Studios		"1,524"			22-Apr-16	90 min	"Biography, Drama, Music"			7000000	0
Ramona and Beezus		G	6.7	56		20th Century Fox		"14,551"			23-Jul-10	103 min	"Adventure, Comedy, Family"			15000000	26161406
The Hero of Color City		G	4.2	33		Magnolia Pictures		348			9-Oct-14	77 min	"Animation, Family"			31826	0
Love & Other Drugs		R	6.7	55		20th Century Fox		"151,980"			24-Nov-10	112 min	"Comedy, Drama, Romance"			30000000	32367005
A Thousand Words		PG-13	5.9	26		Paramount Pictures		"32,789"			9-Mar-12	91 min	"Comedy, Drama"			40000000	18438149
Escape from Planet Earth		PG	6	35		The Weinstein Co.		"21,589"			15-Feb-13	89 min	"Animation, Adventure, Comedy"			40000000	57012977
What's Your Number?		R	6.1	35		20th Century Fox		"62,168"			30-Sep-11	106 min	"Comedy, Romance"			20000000	14008193
Man of Steel		PG-13	7.1	55		Warner Bros. Pictures		"577,695"			14-Jun-13	143 min	"Action, Adventure, Fantasy"			225000000	291045518
Cell		R	4.3	38		Saban Films		"16,470"			10-Jun-16	98 min	"Action, Drama, Horror"			0	0
Drive		R	7.8	78		FilmDistrict		"462,393"			16-Sep-11	100 min	"Crime, Drama"			15000000	35060689
Kid Cannabis		NOT RATED	6.4	54		Well Go USA Entertainment		"7,862"			18-Apr-14	110 min	"Biography, Comedy, Crime"			5000000	5565
The Wolfman		R	5.8	43		Universal Pictures		"92,152"			12-Feb-10	103 min	"Drama, Fantasy, Horror"			150000000	61979680
The Boxtrolls		PG	6.8	61		Focus Features		"45,458"			26-Sep-14	96 min	"Animation, Adventure, Comedy"			60000000	50837305
The Man Who Knew Infinity		PG-13	7.2	56		Edward R. Pressman Film Corporation		"30,256"			29-Apr-16	108 min	"Biography, Drama"			3866794	0
The Incredible Burt Wonderstone		PG-13	5.9	44		Warner Bros. Pictures		"62,910"			15-Mar-13	100 min	Comedy			30000000	22525921
Jack Reacher		PG-13	7	50		Paramount Pictures		"252,008"			21-Dec-12	130 min	"Action, Crime, Mystery"			60000000	80070736
R.I.P.D.		PG-13	5.6	25		Universal Pictures		"96,867"			19-Jul-13	96 min	"Action, Comedy, Fantasy"			130000000	33618855
Miles Ahead		R	6.4	64		N/A		"6,606"			22-Apr-16	100 min	"Biography, Drama, Music"			2610719	0
Scary Movie 5		PG-13	3.5	11		The Weinstein Company		"53,132"			12-Apr-13	86 min	Comedy			20000000	32015787
Clash of the Titans		PG-13	5.8	39		Warner Bros.		"238,729"			2-Apr-10	106 min	"Action, Adventure, Fantasy"			125000000	163214888
Thor		PG-13	7	57		Paramount Pictures		"570,863"			6-May-11	115 min	"Action, Adventure, Fantasy"			150000000	181030624
Warcraft: The Beginning		PG-13	7	32		Universal Pictures		"187,692"			10-Jun-16	123 min	"Action, Adventure, Fantasy"			160000000	47365290
Devil's Knot		NOT RATED	6.1	42		RLJ/Image Entertainment		"15,505"			12-Mar-14	114 min	"Biography, Crime, Drama"			15000000	0
Tooth Fairy		PG	5	36		20th Century Fox		"32,586"			22-Jan-10	101 min	"Comedy, Family, Fantasy"			48000000	60022256
The Danish Girl		R	7	66		Focus Features		"111,026"			22-Jan-16	119 min	"Biography, Drama, Romance"			15000000	12706393
Jack and Jill		PG	3.4	23		Sony Pictures		"63,734"			11-Nov-11	91 min	Comedy			79000000	74158157
Take Me Home Tonight		R	6.3	42		Relativity Media		"45,447"			4-Mar-11	97 min	"Comedy, Drama, Romance"			23000000	6923891
Percy Jackson & the Olympians: The Lightning Thief		PG	5.9	47		20th Century Fox		"149,600"			12-Feb-10	118 min	"Adventure, Family, Fantasy"			95000000	88761720
She's Out of My League		R	6.4	46		Paramount		"105,775"			12-Mar-10	104 min	"Comedy, Romance"			20000000	31584722
Conan the Barbarian		R	5.2	36		Lionsgate		"84,938"			19-Aug-11	113 min	"Action, Adventure, Fantasy"			90000000	21295021
Interstellar		PG-13	8.6	74		Paramount Pictures		"1,057,411"			7-Nov-14	169 min	"Adventure, Drama, Sci-Fi"			165000000	188020017
World War Z		PG-13	7	63		Paramount Pictures		"494,732"			21-Jun-13	116 min	"Action, Adventure, Horror"			190000000	202359711
Flipped		PG	7.7	45		Warner Bros. Pictures		"65,487"			10-Sep-10	90 min	"Comedy, Drama, Romance"			14000000	1752214
